Density,YP,Temperature,ROP,Pipe rotation,Flow rate,Inclination,Eccentricity,Concentration
8.314,20,80,30,0,100,90,0.881,0.35
8.314,20,80,30,0,200,90,0.881,0.14
8.314,20,80,30,80,100,90,0.881,0.06
8.314,20,80,30,80,200,90,0.881,0.02
8.314,20,180,30,0,100,90,0.881,0.11
8.314,20,180,30,0,200,90,0.881,0.04
8.314,20,180,30,80,100,90,0.881,0.15
8.314,20,180,30,80,200,90,0.881,0.0
8.314,40,180,30,0,100,90,0.881,0.2
8.314,40,180,30,80,100,90,0.881,0.15
8.314,40,180,30,0,200,90,0.881,0.0
8.314,40,180,30,80,200,90,0.881,0.0
8.314,40,80,30,0,100,90,0.881,0.3
8.314,40,80,30,80,100,90,0.881,0.09
8.314,40,80,30,0,200,90,0.881,0.0
8.314,40,80,30,80,200,90,0.881,0.0
12.0,40,80,30,0,100,90,0.881,0.19
12.0,40,80,30,80,100,90,0.881,0.01
12.0,40,80,30,0,150,90,0.881,0.05
12.0,40,80,30,80,150,90,0.881,0.0
12.0,40,180,30,0,100,90,0.881,0.01
12.0,40,180,30,80,100,90,0.881,0.0
12.0,20,80,30,0,100,90,0.881,0.17
12.0,20,80,30,80,100,90,0.881,0.01
12.0,20,80,30,0,150,90,0.881,0.08
12.0,20,80,30,80,150,90,0.881,0.0
12.0,20,180,30,0,100,90,0.881,0.15
12.0,20,180,30,80,100,90,0.881,0.01
12.0,20,180,30,0,150,90,0.881,0.03
12.0,20,180,30,80,150,90,0.881,0.0
12.0,40,180,30,0,150,90,0.881,0.01
12.0,40,180,30,80,150,90,0.881,0.0
8.314,20,180,30,0,100,67,0.881,0.32
8.314,20,180,30,0,200,67,0.881,0.04
8.314,20,180,30,80,100,67,0.881,0.23
8.314,20,180,30,80,200,67,0.881,0.01
8.314,20,80,30,0,100,67,0.881,0.17
8.314,20,80,30,80,100,67,0.881,0.27
8.314,20,80,30,0,200,67,0.881,0.12
8.314,20,80,30,80,200,67,0.881,0.12
8.314,40,180,30,0,100,67,0.881,0.34
8.314,40,180,30,80,100,67,0.881,0.22
8.314,40,80,30,0,100,67,0.881,0.41
8.314,40,80,30,80,100,67,0.881,0.19
8.314,40,80,30,0,200,67,0.881,0.12
8.314,40,80,30,80,200,67,0.881,0.01
8.314,40,180,30,0,200,67,0.881,0.1
8.314,40,180,30,80,200,67,0.881,0.05
12.0,40,80,30,0,100,67,0.881,0.21
12.0,40,80,30,80,100,67,0.881,0.04
