Test No.,"Density, ppg",PV,YP,Temperature,ROP,Pipe rotation,Flow rate,Inclination,Eccentricity,Concentration
1,8.314,10,20,80,30,0,100,90,0.881,0.35
2,8.314,10,20,80,30,0,200,90,0.881,0.14
3,8.314,10,20,80,30,80,100,90,0.881,0.06
4,8.314,10,20,80,30,80,200,90,0.881,0.02
5,8.314,10,20,180,30,0,100,90,0.881,0.11
6,8.314,10,20,180,30,0,200,90,0.881,0.04
7,8.314,10,20,180,30,80,100,90,0.881,0.15
8,8.314,10,20,180,30,80,200,90,0.881,0
9,8.314,20,40,180,30,0,100,90,0.881,0.2
10,8.314,20,40,180,30,80,100,90,0.881,0.15
11,8.314,20,40,180,30,0,200,90,0.881,0
12,8.314,20,40,180,30,80,200,90,0.881,0
13,8.314,20,40,80,30,0,100,90,0.881,0.3
14,8.314,20,40,80,30,80,100,90,0.881,0.09
15,8.314,20,40,80,30,0,200,90,0.881,0
16,8.314,20,40,80,30,80,200,90,0.881,0
17,12,20,40,80,30,0,100,90,0.881,0.19
18,12,20,40,80,30,80,100,90,0.881,0.01
19,12,20,40,80,30,0,150,90,0.881,0.05
20,12,20,40,80,30,80,150,90,0.881,0
21,12,20,40,180,30,0,100,90,0.881,0.01
22,12,20,40,180,30,80,100,90,0.881,0
23,12,10,20,80,30,0,100,90,0.881,0.17
24,12,10,20,80,30,80,100,90,0.881,0.01
25,12,10,20,80,30,0,150,90,0.881,0.08
26,12,10,20,80,30,80,150,90,0.881,0
27,12,10,20,180,30,0,100,90,0.881,0.15
28,12,10,20,180,30,80,100,90,0.881,0.01
29,12,10,20,180,30,0,150,90,0.881,0.03
30,12,10,20,180,30,80,150,90,0.881,0
31,12,20,40,180,30,0,150,90,0.881,0.01
32,12,20,40,180,30,80,150,90,0.881,0
33,8.314,10,20,180,30,0,100,67,0.881,0.32
34,8.314,10,20,180,30,0,200,67,0.881,0.04
35,8.314,10,20,180,30,80,100,67,0.881,0.23
36,8.314,10,20,180,30,80,200,67,0.881,0.01
37,8.314,10,20,80,30,0,100,67,0.881,0.17
38,8.314,10,20,80,30,80,100,67,0.881,0.27
39,8.314,10,20,80,30,0,200,67,0.881,0.12
40,8.314,10,20,80,30,80,200,67,0.881,0.12
41,8.314,20,40,180,30,0,100,67,0.881,0.34
42,8.314,20,40,180,30,80,100,67,0.881,0.22
43,8.314,20,40,80,30,0,100,67,0.881,0.41
44,8.314,20,40,80,30,80,100,67,0.881,0.19
45,8.314,20,40,80,30,0,200,67,0.881,0.12
46,8.314,20,40,80,30,80,200,67,0.881,0.01
47,8.314,20,40,180,30,0,200,67,0.881,0.1
48,8.314,20,40,180,30,80,200,67,0.881,0.05
49,12,20,40,80,30,0,100,67,0.881,0.21
50,12,20,40,80,30,80,100,67,0.881,0.04
51,12,20,40,80,30,0,150,67,0.881,0.11
52,12,10,20,80,30,0,100,67,0.881,0.17
53,12,10,20,80,30,0,150,67,0.881,0.04
54,12,10,20,80,30,80,150,67,0.881,0
55,12,10,20,80,30,80,100,67,0.881,0
56,12,10,20,180,30,0,100,67,0.881,0.22
57,12,10,20,180,30,0,150,67,0.881,0.13
58,12,10,20,180,30,80,100,67,0.881,0.02
59,12,10,20,180,30,80,150,67,0.881,0
60,12,20,40,180,30,0,100,67,0.881,0.14
61,12,20,40,180,30,80,100,67,0.881,0
62,12,20,40,180,30,0,150,67,0.881,0.04
63,12,20,40,180,30,80,150,67,0.881,0
64,8.314,10,20,180,40,0,100,90,0.541,0.25
65,8.314,10,20,180,40,0,150,90,0.541,0.18
66,8.314,10,20,180,40,0,200,90,0.541,0.05
67,8.314,10,20,180,40,0,250,90,0.541,0
68,8.314,10,20,120,40,0,100,90,0.541,0.28
69,8.314,10,20,120,40,0,150,90,0.541,0.22
70,8.314,10,20,120,40,0,200,90,0.541,0.14
71,8.314,10,20,120,40,0,250,90,0.541,0.05
72,8.314,10,20,120,40,80,75,90,0.541,0.06
73,8.314,10,20,120,40,80,100,90,0.541,0.05
74,8.314,10,20,120,40,80,150,90,0.541,0.03
75,8.314,10,20,120,20,80,75,90,0.541,0.11
76,8.314,10,20,120,20,80,100,90,0.541,0.07
77,8.314,10,20,120,20,80,150,90,0.541,0
78,8.314,10,20,120,20,0,100,90,0.541,0.2
79,8.314,10,20,120,20,0,150,90,0.541,0.16
80,8.314,10,20,120,20,0,200,90,0.541,0.02
81,8.314,10,20,120,20,0,250,90,0.541,0
82,12,20,40,180,30,80,150,67,0.881,0.03
83,8.33,10,20,180,20,0,100,90,0.541,0.25
84,8.33,10,20,180,20,0,150,90,0.541,0.18
85,8.33,10,20,180,20,0,200,90,0.541,0.05
86,8.33,10,20,180,20,0,250,90,0.541,0
87,8.33,10,20,80,30,0,150,90,0.881,0.1
88,8.33,10,20,80,30,0,200,90,0.881,0.07
89,8.33,10,20,80,30,0,100,67,0.881,0.41
90,8.33,10,20,80,30,80,100,67,0.881,0.21
91,8.33,20,40,80,30,0,100,90,0.881,0.3
92,8.33,10,20,120,40,0,100,90,0.881,0.39
93,8.33,10,20,120,40,0,150,90,0.881,0.2
94,8.33,10,20,120,40,0,200,90,0.881,0.18
95,8.33,10,20,180,40,0,100,90,0.881,0.28
96,8.33,10,20,180,40,0,150,90,0.881,0.17
97,8.33,10,20,180,40,0,200,90,0.881,0.03
98,8.33,10,20,180,40,80,100,90,0.881,0.07
99,8.33,10,20,180,40,80,150,90,0.881,0.06
100,8.33,10,20,180,40,80,200,90,0.881,0
101,8.314,1,0,180,40,0,100,90,0.541,0.33
102,8.314,1,0,180,40,0,150,90,0.541,0.24
103,8.314,1,0,180,40,0,200,90,0.541,0.07
104,8.314,1,0,180,40,80,100,90,0.541,0.06
105,8.314,1,0,180,40,80,150,90,0.541,0.04
106,8.314,1,0,180,40,80,200,90,0.541,0
107,8.314,1,0,120,15,0,100,90,0.541,0.3
108,8.314,1,0,120,15,0,150,90,0.541,0.19
109,8.314,1,0,120,40,0,100,90,0.541,0.23
110,8.314,1,0,120,40,0,150,90,0.541,0.15
111,8.314,1,0,120,40,0,200,90,0.541,0.13
112,8.314,1,0,120,40,80,100,90,0.541,0.05
113,8.314,1,0,120,40,80,150,90,0.541,0.02
114,8.314,1,0,120,40,80,200,90,0.541,0
115,8.314,1,0,180,15,0,100,90,0.541,0.23
116,8.314,1,0,180,15,0,200,90,0.541,0.12
